Part Number,Qty Ordered,UM_Multiplier
 ,1,1
LOT,0,1
CABLE-BK,55,1
EX-OR-22,72.6,1
EX-WW,36.3,1
EX-G14-CL,36.3,1
EX-USK-BK,36.3,1
LOT,0,1
 ,1,1
TLX-TK-BK,5.4,1
TLX-CP-WG,54,1
HINGE-BK,12,1
TLX-WG-LVR,135,1
TLX-FLC-WG2,3,1
TLX-CON-WG2,3,1
TLX-RC-BK,12,1
TLX-ED-WG,3,1
C2-96-24V,3,1
TLX-RC-BK,18,1
TLX-WG-CH,36.18,1
TLX-WG-2700K-SP,54,1
SH-02,2879.55,1
TLED-WW-HB,2879.55,1
MISC,0,1
LOT,0,1
 ,1,1
TXB-W,1350,1
TXRC-W,1350,1
KLED-IW-CF,294,1
FLWG-310-HM,2243,1
TC-101B,750,1
 ,0,1
EC-W,24,1
WP-L01C,2205,1
TLED-PL,441,1
TLED-MG,441,1
TLED-GR,294,1
TLED-BL,441,1
KLED-WW-CF,294,1
LDR8-40,20,1
TXB-W,473,1
TXB-W,348,1
TXRC-W,348,1
SH-02,742.284,1
TB-101A,742.284,1
FLBK-160-HM,365.4,1
TXRC-W,473,1
FLBK-160-HM,1417.5,1
WP-L01C,2879.55,1
CABLE-BK,30,1
EX-LSK-BK,30,1
EX-OR-22,60,1
EX-SCR,120,1
EX-SPH-CL,30,1
EX-CNT,60,1
RV-SEAL,60,1
EX-USK-BK,30,1
EX-VI-WW,30,1
EX-MDA-BK,60,1
T24-150,1,1
 ,1,1
EX-LSK-BK,30,1
LOT,0,1
CABLE-BK,30,1
EX-G14-CL,30,1
EX-OR-22,60,1
EX-SCR,120,1
RV-SEAL,60,1
EX-VI-WW,30,1
EX-USK-BK,30,1
EX-CNT,60,1
EX-OR-22,20,1
EX-SCR,40,1
EX-SPH-CL,10,1
EX-CNT,20,1
RV-SEAL,20,1
EX-USK-BK,10,1
EX-VI-IW,10,1
EX-MDA-BK,50,1
EX-VI-IW,50,1
EX-USK-BK,50,1
RV-SEAL,100,1
EX-CNT,100,1
EX-SPH-CL,50,1
EX-SCR,200,1
 ,0,1
EX-OR-22,100,1
EX-LSK-BK,50,1
CABLE-BK,50,1
 ,0,1
MARK,0,1
ECD-BK,1,1
 ,0,1
 ,0,1
EX-MDA-BK,10,1
ECD-BK,1,1
 ,0,1
 ,0,1
T24-300,1,1
CABLE-BK,10,1
EX-LSK-BK,10,1
LOT,0,1
LOT,0,1
EX-USK-BK,203.94,1
EX-VI-WW,203.94,1
EX-MDA-BK,207,1
ECD-BK,3,1
T24-300,3,1
 ,1,1
MARK,0,1
RV-SEAL,407.88,1
EX-CNT,407.88,1
EX-SPH-CL,203.94,1
EX-SCR,815.76,1
EX-OR-22,407.88,1
EX-LSK-BK,203.94,1
CABLE-BK,309,1
 ,0,1
MS-SKT-B,24,1
MSP-4000-B-150,12,1
MS-LNS-30D,12,1
 ,0,1
LPSDM-350-6CH,6,1
MS-LNS-30D,2,1
MSP-4000-B-30,2,1
MS-PS-6CH,6,1
MARK,0,1
MISC,8,1
MISC,2,1
 ,0,1
LUM-50-IW,20,1
LUM-LEAD,4,1
TRI-MT,80,1
LC-1CH-MULTI,2,1
LDR8-80,1,1
LOT,0,1
MARK,0,1
 ,0,1
XB-3F,200,1
EX-USK-BK,305.133,1
EX-SCR,1220.439,1
EX-MDA-BK,310,1
ECD-BK,35,1
T24-150,35,1
EX-OR-22,610.266,1
EX-LSK-BK,305.133,1
EX-CNT,610.266,1
RV-SEAL,610.08,1
CABLE-BK,305.133,1
EX-VI-LW,305.133,1
EX-SPH-CL,305.133,1
EX-WR,300,1
EX-OR-22,650,1
EX-USK-BK,325,1
EX-CNT,650,1
RV-SEAL,650,1
EX-LSK-BK,325,1
EX-MD-BK,325,1
ECD-BK,1,1
T24-300,1,1
 ,1,1
LOT,0,1
CABLE-BK,325,1
EX-SPH-CL,325,1
EX-WW,325,1
EX-SCR,1300,1
GRHB-HLVR,10,1
GRHB-EC,2,1
GRHB-BASE,0.417,1
GRHB-100,0.417,1
GRHB-FB,2,1
GRHB-LC,10,1
GRHB-LNS-SP,10,1
GRHB-3000-L,10,1
T24-300,1,1
EX-USK-BK,92.4,1
EX-LSK-BK,92.4,1
LOT,0,1
EX-VI-WW,92.4,1
ECD-BK,1,1
EX-OR-22,184.8,1
EX-SCR,369.6,1
EX-G14-FR,92.4,1
EX-CNT,184.8,1
RV-SEAL,184.8,1
CABLE-BK,140,1
EX-MDA-BK,94,1
EX-USK-BK,216,1
EX-LSK-BK,216,1
RV-SEAL,432,1
EX-SPH-CL,216,1
EX-OR-22,432,1
EX-WW,216,1
